gene	type	type_long	note
EPCAM	EPCAM	epithelial	
EGFR	EGFR	epithelial	
CDH1	CDH1	epithelial	
KRT14	basalepithelial	epithelial	
ITGA6	basalepithelial	epithelial	
KRT5	basalepithelial	epithelial	
KRT6	basalepithelial	epithelial	
TP63	basalepithelial	epithelial	
KRT6	basalepithelial	epithelial	
KRT17	basalepithelial	epithelial	
MME	basalepithelial	epithelial	
KRT8	luminalepithelial	epithelial	
KRT18	luminalepithelial	epithelial	
KRT19	luminalepithelial	epithelial	
FOXA1	luminalepithelial	epithelial	
GATA3	luminalepithelial	epithelial	
MUC1	luminalepithelial	epithelial	
CD24	luminalepithelial	epithelial	
KIT	luminalprogenitor	epithelial	
GABRP	luminalprogenitor	epithelial	
SERPINB3	luminalprogenitor	epithelial	
FAP	stroma	other	
COL1A1	stroma	other	
COL3A1	stroma	other	
COL5A1	stroma	other	
ACTA2	stroma	other	
TAGLN	stroma	other	
LUM	stroma	other	
FBLN1	stroma	other	
COL6A3	stroma	other	
COL1A2	stroma	other	
COL6A1	stroma	other	
COL6A2	stroma	other	
PECAM1	endothelial	other	
VWF	endothelial	other	
CDH5	endothelial	other	
SELE	endothelial	other	
PTPRC	immune	immune	
CD2	Tcell	immune	
CD3D	Tcell	immune	
CD3E	Tcell	immune	
CD3G	Tcell	immune	
CD8A	Tcell	immune	
CD8B	Tcell	immune	
CD19	Bcell	immune	
MS4A1	Bcell	immune	
CD79A	Bcell	immune	
CD79B	Bcell	immune	
BLNK	Bcell	immune	
CD14	macrophage	immune	
CD68	macrophage	immune	
CD163	macrophage	immune	
CSF1R	macrophage	immune	
